Name,Template,Resourcepool,CPU,Memory,VNIC,IP,Mask,Gateway,DNS1,DNS2,DNS3,FQDN
CHPRODAPP1,UTC_RH7.7_250GB_JB7.2.0_TP,Finacle-Production,4,32,vxw-dvs-106640-virtualwire-104-sid-100087-Finacle-prod-app,10.132.25.10/25,255.255.255.128,10.132.25.1,10.132.1.13,10.128.1.13,10.129.1.13,chprodapp1.utc.com
CHPRODAPP2,UTC_RH7.7_250GB_JB7.2.0_TP,Finacle-Production,4,32,vxw-dvs-106640-virtualwire-104-sid-100087-Finacle-prod-app,10.132.25.11/25,255.255.255.128,10.132.25.1,10.132.1.13,10.128.1.13,10.129.1.13,chprodapp2.utc.com
CHPRODAPP3,UTC_RH7.7_250GB_JB7.2.0_TP,Finacle-Production,4,32,vxw-dvs-106640-virtualwire-104-sid-100087-Finacle-prod-app,10.132.25.12/25,255.255.255.128,10.132.25.1,10.132.1.13,10.128.1.13,10.129.1.13,chprodapp3.utc.com
CHPRODWEB1,UTC_RH7.7_80GB_WEB_TP,Finacle-Production,1,8,vxw-dvs-106640-virtualwire-103-sid-100086-Finacle-prod-web,10.132.23.10/25,255.255.255.128,10.132.23.1,10.132.1.13,10.128.1.13,10.129.1.13,chprodweb1.utc.com
CHPRODWEB2,UTC_RH7.7_80GB_WEB_TP,Finacle-Production,1,8,vxw-dvs-106640-virtualwire-103-sid-100086-Finacle-prod-web,10.132.23.11/25,255.255.255.128,10.132.23.1,10.132.1.13,10.128.1.13,10.129.1.13,chprodweb2.utc.com
COREWMSPRODWEB1,UTC_RH7.7_80GB_WEB_TP,Finacle-Production,1,8,vxw-dvs-106640-virtualwire-103-sid-100086-Finacle-prod-web,10.132.23.30/25,255.255.255.128,10.132.23.1,10.132.1.13,10.128.1.13,10.129.1.13,corewmsprodweb1.utc.com
COREWMSPRODWEB2,UTC_RH7.7_80GB_WEB_TP,Finacle-Production,1,8,vxw-dvs-106640-virtualwire-103-sid-100086-Finacle-prod-web,10.132.23.31/25,255.255.255.128,10.132.23.1,10.132.1.13,10.128.1.13,10.129.1.13,corewmsprodweb2.utc.com
COREPRODFE1,UTC_RH7.7_120GB_JB7.1.0_TP,Finacle-Production,2,14,vxw-dvs-106640-virtualwire-104-sid-100087-Finacle-prod-app,10.132.25.30/25,255.255.255.128,10.132.25.1,10.132.1.13,10.128.1.13,10.129.1.13,coreprodfe1.utc.com
COREPRODFE2,UTC_RH7.7_120GB_JB7.1.0_TP,Finacle-Production,2,14,vxw-dvs-106640-virtualwire-104-sid-100087-Finacle-prod-app,10.132.25.31/25,255.255.255.128,10.132.25.1,10.132.1.13,10.128.1.13,10.129.1.13,coreprodfe2.utc.com
WMSPRODFE1,UTC_RH7.7_120GB_JB7.1.0_TP,Finacle-Production,2,14,vxw-dvs-106640-virtualwire-104-sid-100087-Finacle-prod-app,10.132.25.32/25,255.255.255.128,10.132.25.1,10.132.1.13,10.128.1.13,10.129.1.13,wmsprodfe1.utc.com
